time,CSC_count,PC_count,mean_nutrient
1.433687435205217071e+03,1.500000000000000000e+01,2.260000000000000000e+02,1.431029001060497134e+121
1.433705158765037368e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.430631583828838682e+121
1.433780092487579168e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.428951803775988461e+121
1.433836265033029576e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.427694069233749133e+121
1.433959835667256584e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.424929689284211895e+121
1.433965338669474704e+03,1.500000000000000000e+01,2.260000000000000000e+02,1.424806820820978625e+121
1.434361023583941005e+03,1.500000000000000000e+01,2.260000000000000000e+02,1.415972914657322777e+121
1.434378475287746369e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.415585710436624884e+121
1.434396386091363865e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.415188428750613311e+121
1.434402159940116690e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.415060394260771853e+121
1.434555118275967288e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.411668866088875159e+121
1.434626019473941142e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.410100549583820351e+121
1.434742731100988067e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.407521786119584698e+121
1.434778128927324133e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.406741095388453775e+121
1.434812735324804635e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.405978282768093758e+121
1.434932150089963216e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.403347506324009047e+121
1.435031026590821057e+03,1.500000000000000000e+01,2.270000000000000000e+02,1.401173275646340182e+121
1.435113475822009150e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.399363078987254145e+121
1.435291484698273280e+03,1.500000000000000000e+01,2.280000000000000000e+02,1.395459891858248035e+121
1.435439919787180088e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.392214245194945825e+121
1.435463872019563269e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.391691729460460715e+121
1.435568629200984105e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.389407318925316787e+121
1.435651594132160653e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.387601095615391599e+121
1.435704812014688059e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.386443999254314619e+121
1.435957229049357238e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.380960367331073609e+121
1.436035305137358137e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.379270912586329225e+121
1.436070525857585608e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.378509719012436059e+121
1.436093692830705095e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.378009308493414662e+121
1.436117566526036171e+03,1.500000000000000000e+01,2.350000000000000000e+02,1.377493819850290190e+121
1.436277401384508039e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.374043904309044544e+121
1.436323154900353529e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.373058822305033368e+121
1.436433848147634535e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.370677283983513349e+121
1.436598451776656020e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.367142019384294501e+121
1.436721849069355130e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.364498596981305162e+121
1.436824103309021439e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.362312337427107811e+121
1.436849319566336135e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.361774061917975777e+121
1.436889442800371853e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.360917915011088817e+121
1.436938617888411954e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.359869279935055162e+121
1.437179019220759983e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.354746787373419172e+121
1.437567196918474565e+03,1.500000000000000000e+01,2.350000000000000000e+02,1.346506620384150106e+121
1.437626220148171114e+03,1.500000000000000000e+01,2.350000000000000000e+02,1.345261306683186251e+121
1.437822684030273422e+03,1.500000000000000000e+01,2.350000000000000000e+02,1.341120006844290761e+121
1.437901578785282936e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.339462088730726864e+121
1.437986826656428548e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.337672878916637671e+121
1.438066978799003437e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.335992867004071190e+121
1.438301676527033123e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.331079713558468981e+121
1.438319751161829117e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.330702731311439157e+121
1.438820164432210504e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.320289032823838956e+121
1.439133530505275985e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.313806148174299450e+121
1.439303161307282380e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.310314075217315811e+121
1.439317192294949791e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.310025996647515764e+121
1.439541357336101100e+03,1.500000000000000000e+01,2.340000000000000000e+02,1.305424542466070516e+121
1.439580971182284657e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.304614242002361152e+121
1.440139084256108845e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.293230079734245979e+121
1.440161512205118697e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.292775601948122807e+121
1.440289922712613816e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.290174418314660830e+121
1.440403060446731843e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.287887223244900368e+121
1.440458314607661350e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.286772184069145871e+121
1.440545581554310047e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.285012645673087444e+121
1.440671590543384582e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.282475436738269412e+121
1.440740131572597420e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.281098078279445720e+121
1.440883474211135535e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.278220646225345491e+121
1.441016809625490396e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.275550108937949011e+121
1.441099839190811281e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.273890607658195446e+121
1.441147020690695626e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.272948823932102786e+121
1.441382198056545576e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.268257949917669872e+121
1.441603741872871296e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.263855296190670763e+121
1.441781039603019281e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.260344158737458717e+121
1.441812239959726639e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.259727995170585791e+121
1.441880752628563187e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.258375626910518881e+121
1.441926828738064614e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.257467109189377514e+121
1.441953926309484132e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.256933191503375834e+121
1.442316765588067710e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.249787014111235754e+121
1.442535179806330461e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.245509768222563451e+121
1.442587913320237249e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.244480612359115815e+121
1.442594179763270404e+03,1.500000000000000000e+01,2.330000000000000000e+02,1.244358416487283459e+121
1.442667459337176297e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.242929602384511007e+121
1.442737181824734989e+03,1.500000000000000000e+01,2.320000000000000000e+02,1.241571705761630381e+121
1.442772544606341626e+03,1.500000000000000000e+01,2.310000000000000000e+02,1.240883742053038480e+121
1.442815503476200092e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.240048463663677445e+121
1.442915375125337277e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.238107898713423804e+121
1.443142115059177740e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.233709102798938234e+121
1.443268745465481288e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.231261177996281955e+121
1.443321865913029114e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.230236330569965859e+121
1.443414138327183537e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.228457609970336417e+121
1.443591745642725982e+03,1.500000000000000000e+01,2.290000000000000000e+02,1.225038852219180224e+121
1.443594063489192649e+03,1.500000000000000000e+01,2.300000000000000000e+02,1.224994360229188933e+121
1.443603187034498887e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.224819236488435032e+121
1.443728740936150871e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.222409611185629719e+121
1.444093634799002984e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.215420360494169384e+121
1.444148411377763523e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.214377157766264200e+121
1.444429451453510637e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.209029431774799053e+121
1.444492763538970848e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.207830013130350272e+121
1.444521897948672404e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.207278622548884720e+121
1.444545786856058157e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.206826713434530962e+121
1.444728291086457375e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.203375552961142561e+121
1.444798759744700646e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.202046799251619022e+121
1.444939403413460468e+03,1.400000000000000000e+01,2.300000000000000000e+02,1.199397757116116314e+121
1.444941228987725935e+03,1.400000000000000000e+01,2.310000000000000000e+02,1.199363447959644311e+121
1.444989878377188916e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.198449175776301387e+121
1.445173482418306321e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.195001319452184229e+121
1.445373476440408695e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.191256484318761527e+121
1.445388908409434862e+03,1.400000000000000000e+01,2.320000000000000000e+02,1.190968430309855825e+121
1.445470474911818656e+03,1.400000000000000000e+01,2.330000000000000000e+02,1.189446273508182398e+121
1.445673974974316479e+03,1.400000000000000000e+01,2.340000000000000000e+02,1.185653501997375509e+121
1.445772192441752395e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.183828792119318570e+121
1.445891970323196801e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.181606951875592343e+121
1.446019984437217090e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.179236788977811466e+121
1.446103239849617466e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.177698418988269842e+121
1.446319937135392365e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.173699571261364529e+121
1.446491779214894677e+03,1.400000000000000000e+01,2.370000000000000000e+02,1.170539231547488314e+121
1.446577863423019153e+03,1.400000000000000000e+01,2.380000000000000000e+02,1.168960323762830911e+121
1.446838729806622496e+03,1.400000000000000000e+01,2.380000000000000000e+02,1.164182114216902664e+121
1.446869969524061389e+03,1.400000000000000000e+01,2.380000000000000000e+02,1.163612244835925063e+121
1.447030160894458959e+03,1.400000000000000000e+01,2.370000000000000000e+02,1.160691492702468317e+121
1.447076890849329629e+03,1.400000000000000000e+01,2.380000000000000000e+02,1.159841609068754141e+121
1.447337456663864032e+03,1.400000000000000000e+01,2.370000000000000000e+02,1.155106135411342613e+121
1.447433602506428315e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.153365933250858008e+121
1.447745123388799129e+03,1.400000000000000000e+01,2.360000000000000000e+02,1.147736021503201038e+121
1.447792061873042258e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.146891873929823834e+121
1.447810493807798139e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.146560635510676011e+121
1.448173539880737962e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.140038255869042486e+121
1.448407952627319901e+03,1.400000000000000000e+01,2.350000000000000000e+02,1.135850822093607449e+121
