time_h,CSC_count,PC_count,mean_nutrient
1.600000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.754594319027179772e-01
1.610000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.748740445444859848e-01
1.620000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.742979966206418485e-01
1.630000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.737311599887243707e-01
1.640000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.731734224582084591e-01
1.650000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.726242594267924035e-01
1.660000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.720834966433441249e-01
1.670000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.715512369529437420e-01
1.680000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.710272891028975728e-01
1.690000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.705112442192099564e-01
1.700000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.700028877308299657e-01
1.710000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.695022098875420768e-01
1.720000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.690091953500899802e-01
1.730000000000000000e+02,6.000000000000000000e+00,1.800000000000000000e+01,5.685236735580353473e-01
1.740000000000000000e+02,6.000000000000000000e+00,1.900000000000000000e+01,5.680455629817497964e-01
1.750000000000000000e+02,7.000000000000000000e+00,2.000000000000000000e+01,5.675692088223640575e-01
1.760000000000000000e+02,7.000000000000000000e+00,2.100000000000000000e+01,5.670889673334468251e-01
1.770000000000000000e+02,7.000000000000000000e+00,2.100000000000000000e+01,5.666103576614369697e-01
1.780000000000000000e+02,7.000000000000000000e+00,2.200000000000000000e+01,5.661389139937654802e-01
1.790000000000000000e+02,7.000000000000000000e+00,2.200000000000000000e+01,5.656690766614399513e-01
1.800000000000000000e+02,7.000000000000000000e+00,2.200000000000000000e+01,5.652063602464166836e-01
1.810000000000000000e+02,7.000000000000000000e+00,2.300000000000000000e+01,5.647507008406655871e-01
1.820000000000000000e+02,7.000000000000000000e+00,2.400000000000000000e+01,5.642964953980966758e-01
1.830000000000000000e+02,7.000000000000000000e+00,2.400000000000000000e+01,5.638436700419002801e-01
1.840000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.633976568049238187e-01
1.850000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.629527886647986978e-01
1.860000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.625145254088417257e-01
1.870000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.620827598802757841e-01
1.880000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.616574003401988424e-01
1.890000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.612383648817096393e-01
1.900000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.608255833974135074e-01
1.910000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.604189898848139784e-01
1.920000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.600185065033163045e-01
1.930000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.596240461433396041e-01
1.940000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.592355383176805805e-01
1.950000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.588529517254111623e-01
1.960000000000000000e+02,7.000000000000000000e+00,2.500000000000000000e+01,5.584762642503189323e-01
1.970000000000000000e+02,7.000000000000000000e+00,2.600000000000000000e+01,5.581054323987476584e-01
1.980000000000000000e+02,7.000000000000000000e+00,2.600000000000000000e+01,5.577348645765769497e-01
1.990000000000000000e+02,8.000000000000000000e+00,2.700000000000000000e+01,5.573700844506558338e-01
2.000000000000000000e+02,8.000000000000000000e+00,2.800000000000000000e+01,5.570000215962316314e-01
2.010000000000000000e+02,9.000000000000000000e+00,2.800000000000000000e+01,5.566303453892424979e-01
2.020000000000000000e+02,9.000000000000000000e+00,2.900000000000000000e+01,5.562611392435974356e-01
2.030000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+01,5.558923970825142558e-01
2.040000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+01,5.555240454443158837e-01
2.050000000000000000e+02,9.000000000000000000e+00,3.000000000000000000e+01,5.551615468467022696e-01
2.060000000000000000e+02,1.000000000000000000e+01,3.300000000000000000e+01,5.548047680783725344e-01
2.070000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.544314714206346473e-01
2.080000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.540584739131821923e-01
2.090000000000000000e+02,1.000000000000000000e+01,3.400000000000000000e+01,5.536917965134604547e-01
